product_name,start_range,end_range
Oris Aquis Date,20750,29590
Rare Ziegler Mahal Carpet Edwardian Era,6130,16180
Original Theodolite Surveying Instrument,2280,3430
Period Hot Wheels Redline Collection 19th Century,2860,4590
Tavern Sign Iron Bracket 18th Century,6900,15030
Larry Bird Game Worn Sneakers c.1970,14770,42480
Monumental 17th Century World Map Edwardian Era,3720,11110
Provenance Japanese Samurai Sword Katana,8510,18010
Oversized Hydrographic Chart Coastal Federal Period From Private Collection,2970,6960
Grand Norman Rockwell Saturday Evening Post,3340,7400
Grand Kutani Porcelain Plate Museum Deaccessioned,2440,4490
Fine Pave Diamond Bangle c.1920,21920,56970
Certified Blenko Hand Blown Decanter c.1780,8090,18680
Pristine Chronometer Marine Deck Mid-Century,5610,12490
Exhibited Lewis & Clark Expedition Map c.1880 Museum Deaccessioned,1480,3590
Period Biedermeier Secretaire,640,1180
Unique Bakhtiari Garden Design Rug Good Condition,7000,13700
Hank Aaron Home Run Ball,14450,21960
Provenance Wurlitzer Electric Piano,15080,51130
Federal Period Console,11150,25000
Delicate Louis Vuitton Trunk Antique c.1860,7470,10460
Haida Argillite Carving c.1900 With Certificate,830,1400
Exhibited Gouache Street Scene Regency Period,44100,104780
Unmatched Limoges Enamel Box Collection c.1930,160,330
Estate Chinese Scholar's Rock 18th Century Excellent Condition,21520,33570
Unique Henri Cartier-Bresson Gelatin Print Early 20th Century As Found,870,2300
Early WWII Aviator Leather Jacket 18th Century,4520,9480
Delicate Castrol Oil Can Collection Edwardian Era,1880,5000
Museum Quality Tempera on Panel Edwardian Era,73380,150000
Certified Whale Oil Lamp Antique c.1920 Museum Deaccessioned,4470,13380
Magnificent LEGO Castle Set Vintage Art Deco Period Recently Conserved,4680,13170
Museum Quality Filigree Silver Brooch,20940,70810
Rare Brass Samovar Russian With Certificate,2710,4500
Quilt Log Cabin Pattern Late Victorian,4030,5320
Bentley Flying B Mascot,950,2850
Certified Serena Williams Match Racket Modernist Period,9730,21700
Premier Spanish Doubloon Georgian Period,41440,88320
McIntosh MC275 Amplifier Arts & Crafts Era Good Condition,5950,15880
Krug Collection 1988 Good Condition,4460,12440
Superb Hair Art Memorial Wreath Late Victorian,6430,17230
Original Geological Survey Map Victorian Recently Conserved,2550,6220
Ludwig Vistalite Drum Kit Federal Period,9970,27960
